x,y,file,label,class
-11.04642073,-4.566878416,,Nv,1
11.7970308,6.51408033,,Nv,1
-16.75471366,9.996280091,,Nv,1
-8.38366071,2.705876743,,Nv,1
-9.93134213,6.411611358,,Nv,1
4.782671651,-13.01799439,,Nv,1
4.797833559,6.350434975,,Nv,1
-6.637347118,2.146809096,,Nv,1
-16.22478469,6.029400024,,Nv,1
-11.98427471,9.317357313,,Nv,1
-10.52554634,10.56997048,,Nv,1
-5.10739111,-7.972446555,,Nv,1
-6.221550582,3.301425045,,Nv,1
-9.108344625,2.996158804,,Nv,1
-14.52696429,5.805827534,,Nv,1
-5.753743252,11.37203856,,Nv,1
-12.92772939,4.757349354,,Nv,1
-3.668712704,2.763529677,,Nv,1
-14.00664641,6.279781029,,Nv,1
-11.85807238,-4.135628568,,Nv,1
-3.337072258,-6.64709041,,Nv,1
-3.152263934,3.498148601,,Nv,1
-13.29068108,-1.040275088,,Nv,1
-12.36356975,8.21259369,,Nv,1
15.47258444,5.933959957,,Nv,1
-10.2533805,12.53632736,,Nv,1
-14.53836894,10.99005754,,Nv,1
-13.08712451,14.64053081,,Nv,1
-6.87301925,5.888118935,,Nv,1
-2.914833473,-17.82603459,,Nv,1
-10.89865955,8.557040835,,Nv,1
-12.53241882,-1.616350285,,Nv,1
-10.71299436,10.19483339,,Nv,1
-11.05353651,7.666588194,,Nv,1
-15.53425068,13.6364087,,Nv,1
-10.01207455,-2.621635807,,Nv,1
-10.49906166,-2.712712352,,Nv,1
18.84918496,5.56197508,,Nv,1
-10.23675297,12.3943854,,Nv,1
-12.64034571,13.92400956,,Nv,1
-10.42354025,12.21322105,,Nv,1
-16.02502657,12.02584113,,Nv,1
-13.40618529,16.06252663,,Nv,1
-12.01639295,11.79044987,,Nv,1
-9.583584447,0.544827086,,Nv,1
-7.088995426,-3.219007491,,Nv,1
6.932434919,10.4835205,,Nv,1
4.656773319,2.827981312,,Nv,1
-3.016758841,-8.65310672,,Nv,1
2.942005919,3.049132629,,Nv,1
-10.4749932,6.009357653,,Nv,1
-4.034409013,-16.41451381,,Nv,1
-18.40545129,5.385889047,,Nv,1
-7.917465395,1.398935238,,Nv,1
-13.28197027,-1.740618278,,Nv,1
-8.175643494,-1.447953969,,Nv,1
15.61527684,3.244150181,,Nv,1
-6.393669243,5.063453231,,Nv,1
